Dist    Strength    Reserved    TS          
5174    744         0           15:48:19.348   
5175    734         0           15:48:19.366   
5176    746         0           15:48:19.366   
5177    740         0           15:48:19.378   
5179    744         0           15:48:19.390   
5179    742         0           15:48:19.390   
5180    724         0           15:48:19.407   
5181    733         0           15:48:19.419   
5182    742         0           15:48:19.419   
5183    741         0           15:48:19.438   
5184    739         0           15:48:19.456   
5185    740         0           15:48:19.456   
5185    745         0           15:48:19.467   
5186    748         0           15:48:19.480   
5187    741         0           15:48:19.480   
5188    733         0           15:48:19.498   
5189    743         0           15:48:19.510   
5190    749         0           15:48:19.510   
5190    740         0           15:48:19.527   
5191    741         0           15:48:19.545   
5191    739         0           15:48:19.545   
5192    744         0           15:48:19.557   
5193    740         0           15:48:19.569   
5194    745         0           15:48:19.569   
5195    747         0           15:48:19.588   
5195    750         0           15:48:19.599   
5195    741         0           15:48:19.599   
5197    747         0           15:48:19.617   
5198    751         0           15:48:19.629   
5198    749         0           15:48:19.630   
5199    741         0           15:48:19.648   
5200    747         0           15:48:19.659   
5201    744         0           15:48:19.659   
5202    744         0           15:48:19.678   
5202    741         0           15:48:19.690   
5202    750         0           15:48:19.690   
5203    740         0           15:48:19.707   
5204    737         0           15:48:19.719   
5205    750         0           15:48:19.719   
5206    741         0           15:48:19.743   
5206    748         0           15:48:19.743   
5207    743         0           15:48:19.755   
5208    744         0           15:48:19.767   
5209    739         0           15:48:19.779   
5209    738         0           15:48:19.780   
5209    746         0           15:48:19.797   
5210    745         0           15:48:19.809   
5211    744         0           15:48:19.809   
5211    743         0           15:48:19.833   
5212    733         0           15:48:19.833   
5213    743         0           15:48:19.845   
5213    745         0           15:48:19.857   
5214    742         0           15:48:19.869   
5214    744         0           15:48:19.869   
5215    743         0           15:48:19.888   
5216    737         0           15:48:19.900   
5216    743         0           15:48:19.900   
5216    749         0           15:48:19.924   
5217    747         0           15:48:19.924   
5218    737         0           15:48:19.936   
5218    744         0           15:48:19.948   
5218    747         0           15:48:19.960   
5218    741         0           15:48:19.960   
5220    743         0           15:48:19.978   
5220    740         0           15:48:19.990   
5220    741         0           15:48:19.990   
5221    737         0           15:48:20.8     
5221    738         0           15:48:20.26    
5222    742         0           15:48:20.26    
5222    744         0           15:48:20.38    
5223    738         0           15:48:20.50    
5223    740         0           15:48:20.50    
5223    746         0           15:48:20.68    
5224    739         0           15:48:20.80    
5224    745         0           15:48:20.86    
5224    744         0           15:48:20.99    
5225    750         0           15:48:20.112   
5225    745         0           15:48:20.112   
5225    741         0           15:48:20.124   
5226    744         0           15:48:20.137   
5226    747         0           15:48:20.149   
5226    743         0           15:48:20.161   
5227    745         0           15:48:20.161   
5227    734         0           15:48:20.179   
5227    746         0           15:48:20.191   
5228    746         0           15:48:20.191   
5228    741         0           15:48:20.215   
