Dist    Strength    Reserved    TS          
5669    536         0           15:43:51.832   
5669    533         0           15:43:51.850   
5669    540         0           15:43:51.862   
5669    534         0           15:43:51.862   
5669    541         0           15:43:51.880   
5669    542         0           15:43:51.901   
5669    535         0           15:43:51.901   
5669    534         0           15:43:51.910   
5669    526         0           15:43:51.922   
5669    537         0           15:43:51.922   
5669    534         0           15:43:51.940   
5670    560         0           15:43:51.952   
5669    532         0           15:43:51.952   
5670    541         0           15:43:51.970   
5670    532         0           15:43:51.988   
5670    541         0           15:43:51.988   
5670    535         0           15:43:52.0     
5670    535         0           15:43:52.12    
5670    526         0           15:43:52.12    
5670    532         0           15:43:52.30    
5670    529         0           15:43:52.42    
5670    540         0           15:43:52.42    
5670    531         0           15:43:52.60    
5669    528         0           15:43:52.78    
5669    541         0           15:43:52.78    
5669    532         0           15:43:52.90    
5669    546         0           15:43:52.102   
5669    530         0           15:43:52.102   
5669    533         0           15:43:52.120   
5669    531         0           15:43:52.132   
5669    537         0           15:43:52.132   
5669    523         0           15:43:52.150   
5669    531         0           15:43:52.162   
5669    537         0           15:43:52.162   
5669    535         0           15:43:52.180   
5669    541         0           15:43:52.192   
5669    531         0           15:43:52.192   
5669    530         0           15:43:52.210   
5669    539         0           15:43:52.222   
5669    536         0           15:43:52.222   
5669    530         0           15:43:52.240   
5669    525         0           15:43:52.252   
5669    540         0           15:43:52.252   
5669    526         0           15:43:52.276   
5669    536         0           15:43:52.276   
5669    524         0           15:43:52.288   
5669    524         0           15:43:52.300   
5669    527         0           15:43:52.312   
5669    533         0           15:43:52.312   
5669    532         0           15:43:52.330   
5669    531         0           15:43:52.342   
5669    537         0           15:43:52.342   
5669    530         0           15:43:52.366   
5669    539         0           15:43:52.366   
5669    534         0           15:43:52.378   
5670    543         0           15:43:52.390   
5670    519         0           15:43:52.402   
5670    532         0           15:43:52.402   
5670    534         0           15:43:52.420   
5670    533         0           15:43:52.432   
5669    525         0           15:43:52.432   
5669    535         0           15:43:52.450   
5669    532         0           15:43:52.468   
5669    533         0           15:43:52.468   
