Dist    Strength    Reserved    TS          
1888    436         0           15:44:33.220   
1892    442         0           15:44:33.238   
1895    442         0           15:44:33.238   
1898    450         0           15:44:33.250   
1902    440         0           15:44:33.262   
1905    448         0           15:44:33.262   
1908    449         0           15:44:33.281   
1913    445         0           15:44:33.292   
1915    452         0           15:44:33.292   
1919    453         0           15:44:33.310   
1923    456         0           15:44:33.328   
1926    459         0           15:44:33.328   
1930    456         0           15:44:33.340   
1933    457         0           15:44:33.352   
1937    463         0           15:44:33.352   
1940    471         0           15:44:33.370   
1943    471         0           15:44:33.382   
1946    477         0           15:44:33.382   
1950    473         0           15:44:33.400   
1954    477         0           15:44:33.418   
1958    473         0           15:44:33.418   
1961    476         0           15:44:33.430   
1964    476         0           15:44:33.442   
1968    482         0           15:44:33.442   
1971    493         0           15:44:33.460   
1974    484         0           15:44:33.472   
1978    489         0           15:44:33.472   
1982    494         0           15:44:33.490   
1986    489         0           15:44:33.502   
1989    497         0           15:44:33.502   
1992    502         0           15:44:33.520   
1997    500         0           15:44:33.533   
1999    499         0           15:44:33.533   
2003    495         0           15:44:33.550   
2007    507         0           15:44:33.562   
2010    496         0           15:44:33.562   
2015    503         0           15:44:33.582   
2019    505         0           15:44:33.594   
2022    497         0           15:44:33.594   
2026    509         0           15:44:33.610   
2028    509         0           15:44:33.622   
2032    504         0           15:44:33.622   
2036    508         0           15:44:33.640   
2040    504         0           15:44:33.652   
2042    503         0           15:44:33.652   
2046    509         0           15:44:33.670   
2049    505         0           15:44:33.682   
2053    504         0           15:44:33.682   
2056    504         0           15:44:33.706   
2060    504         0           15:44:33.706   
2064    498         0           15:44:33.718   
2067    497         0           15:44:33.730   
2071    503         0           15:44:33.742   
2074    501         0           15:44:33.742   
2078    499         0           15:44:33.760   
2082    498         0           15:44:33.772   
2085    496         0           15:44:33.772   
2089    495         0           15:44:33.796   
2093    501         0           15:44:33.796   
2096    489         0           15:44:33.808   
2100    494         0           15:44:33.820   
2104    497         0           15:44:33.832   
2108    493         0           15:44:33.832   
2110    484         0           15:44:33.850   
2115    493         0           15:44:33.862   
2119    488         0           15:44:33.862   
2122    486         0           15:44:33.880   
2126    489         0           15:44:33.898   
2130    491         0           15:44:33.898   
2133    483         0           15:44:33.910   
2137    480         0           15:44:33.922   
2141    488         0           15:44:33.922   
2145    480         0           15:44:33.940   
2148    491         0           15:44:33.952   
2152    481         0           15:44:33.952   
2156    483         0           15:44:33.970   
2159    483         0           15:44:33.988   
2163    482         0           15:44:33.988   
2167    482         0           15:44:34.0     
2171    482         0           15:44:34.12    
